ObjectID,GlobalID,surveyStartDate,surveyStartTime,Field Crew:,Waterbody:,Station ID:,Town:,Site Type:,Camera Type:,Streamflow Category:,Battery Voltage:,Notes:,surveyEndTime,CreationDate,Creator,EditDate,Editor,x,y
17,867d6c52-1ef8-4a14-a6c8-01987a7e1ab0,08/19/20,09:03,"M. Czarnowski, A. Hibbard",Hockanum River_14237,,,,,4,1.7,,09:25,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,-72.5558707780819,41.7862772613647
18,fa35bab9-d445-4c9d-80a2-0261b4c9e724,08/19/20,08:20,"M. Czarnowski, A. Hibbard",Hop Brook_19048,19048,Manchester,Public Water Supply,Handheld,4,,No trail camera at this site,14:31,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
19,bc7e6648-711e-4821-a3a8-08abd3cc4d8a,08/12/20,09:38,"M. Czarnowski, A. Hibbard",Mill River US Cook Hill Rd_19141,19141,Cheshire,Public Water Supply,Reconyx,2,1.72,"9:30 Parked at site
9:40 arrived at camera",10:24,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
20,a73032d7-1040-48e4-a86e-1309bc18bba0,08/19/20,12:20,"M. Czarnowski, A. Hibbard",Fenton River_19388,19388,Mansfield,Reference / Public Water Supply,Moultrie,4,1.69,Low 4. Not positive on SID,12:24,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
21,7c3a476c-0522-47a8-8e07-2f0a3f475e60,08/12/20,14:23,"M. Czarnowski, A. Hibbard",West Branch Salmon Brook_15499,15499,Granby,Reference (RMN Site),Moultrie,,1.7,2:25 arrived at site,14:37,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
22,d261b505-3bc6-4a03-abf5-526c2ae2667f,08/19/20,10:49,"M. Czarnowski, A. Hibbard",Mount Hope River_18421,18421,Ashford,Public Water Supply,Moultrie,4,1.7,Low 4,10:52,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
23,df021029-6a8b-4292-b9cd-699aeb4d16b9,08/19/20,11:32,"M. Czarnowski, A. Hibbard",Fenton River_15091,15091,Mansfield,Reference / Public Water Supply,Moultrie,4,1.73,Not positive on SID. Replaced camera #38 with #26,11:38,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
24,97d44a5c-250f-4198-a875-74ffe3a150f5,08/12/20,12:31,"M. Czarnowski, A. Hibbard",Honeypot Brook_15193,15193,Cheshire,Public Water Supply,Moultrie,4,1.71,"12:30 arrived at site
Camera seemed a little crooked. 
12:45 departed from site",13:34,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
25,1fc3bad4-b75e-49dc-b4fc-7b2a51faba2c,08/12/20,12:09,"M. Czarnowski, A. Hibbard",Honeypot Brook_15192,15192,Cheshire,USGS Reference to 15193,Moultrie,4,1.75,"12:10 arrived at site
12:22 departed",12:24,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
26,0ff45272-d457-4856-9bec-7f2f9bfdc76c,08/12/20,10:43,"M. Czarnowski, A. Hibbard",Mill River_15013,15013,Hamden,Reference to SID 19141,Moultrie,4,1.73,"Arrived at 10:35
Camera took 8700 pictures then failed. 
Removed #56 and replaced with #22
Ate lunch, departed 11:52",11:37,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
27,7027745d-216e-4da2-b8fc-84e470c8e9b6,08/12/20,13:34,"M. Czarnowski, A. Hibbard",Owens Brook_16933,16933,Simsbury,Reference to SID 19040,Reconyx,,1.72,"1:35 arrived at site
Removed #50 and replaced with #61",13:54,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
28,5a7012e0-93e9-452f-86fa-b907f3773347,08/19/20,08:25,"M. Czarnowski, A. Hibbard",Birch Mountain Brook_18566,18566,Manchester,Public Water Supply,Handheld,4,,No trail camera at this site.,08:25,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
29,9adee572-044a-4623-af35-bb50728c3fe1,08/19/20,10:15,"M. Czarnowski, A. Hibbard",Mount Hope River_15801,15801,Ashford,Reference (USGS),Reconyx,4,1.71,Replaced camera #60 with #50. Low 4,10:21,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
30,30bd6a3a-e6eb-4124-ba43-cbd08c81dd50,08/12/20,09:59,"M. Czarnowski, A. Hibbard",Mill River DS Cook Hill Rd_19141,19141,Cheshire,Public Water Supply,Moultrie,1,1.73,"10:00 Arrived at camera
Replaced camera #66 with #21
10:30 departed 
",10:21,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
31,4b76df41-d546-4e85-a912-d14d942ec302,08/12/20,14:06,"M. Czarnowski, A. Hibbard",Bissell Brook_19040,19040,Simsbury,Public Water Supply,Moultrie,1,1.74,"2:05 arrived at site
Small hole in the camera, possibly storm damage
2:15 departed from site
",15:33,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
32,834791ee-a727-49a4-9efa-d7ab3cfd9e43,08/12/20,08:39,"M. Czarnowski, A. Hibbard",Muddy River_16880,16880,Wallingford,Public Water Supply,Reconyx,4,1.71,"8:00 departed Windsor Lab

8:30 arrived at site

Removed camera #58; replaced with #47

9:00 departed
",15:34,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,8/21/2020 7:42:56 PM,Carriel.Cataldi_CTDEEP,0,0
33,69a4713c-a9ae-4874-806d-b83d337ae6b2,08/21/20,16:12,TEST,Blackberry River_14687,14687,North Canaan,Public Water Supply,Moultrie,7,9.99,TEST GEOPOINT,16:15,8/21/2020 8:15:06 PM,Carriel.Cataldi_CTDEEP,8/21/2020 8:15:06 PM,Carriel.Cataldi_CTDEEP,-73.3254,42.0228
34,6f7f7e7c-d689-45f5-bd22-c23545eca51a,09/16/20,14:26,"M. Czarnowski, A. Hibbard",Blackberry River_14687,14687,North Canaan,Public Water Supply,Moultrie,,1.71,,14:45,9/16/2020 8:39:32 PM,WaterMonitoringAccount_CTDEEP,9/16/2020 8:39:32 PM,WaterMonitoringAccount_CTDEEP,-73.3254,42.0228
35,cf1924c7-9c6a-4453-b775-43b95bc90431,09/16/20,15:35,"M. Czarnowski, A. Hibbard",Hubbard River_15240,15240,Hartland,Reference (USGS),Reconyx,4,1.71,Replacing camera #41 with camera #45,15:55,9/16/2020 8:39:33 PM,WaterMonitoringAccount_CTDEEP,9/16/2020 8:39:33 PM,WaterMonitoringAccount_CTDEEP,-72.9384,42.0356
36,dfc4144b-8f2a-45b3-8fb7-a7f456317c6c,09/16/20,12:09,"M. Czarnowski, A. Hibbard",Salmon Creek_14434,14434,Salisbury,Reference (USGS),Moultrie,4,1.68,"Moved camera ~500 feet upstream, facing upstream, due to downed trees",12:40,9/16/2020 8:39:33 PM,WaterMonitoringAccount_CTDEEP,9/16/2020 8:39:33 PM,WaterMonitoringAccount_CTDEEP,-73.3909,41.9417
