Date_Time,Temp,UOM,ProbeID,SID,Collector,ProbeType
9/16/2017 0:00,17.249,deg C,2229157,15499,ABM,HOBO
9/16/2017 1:00,17.13,deg C,2229157,15499,ABM,HOBO
9/16/2017 2:00,16.987,deg C,2229157,15499,ABM,HOBO
9/16/2017 3:00,16.868,deg C,2229157,15499,ABM,HOBO
9/16/2017 4:00,16.725,deg C,2229157,15499,ABM,HOBO
9/16/2017 5:00,16.582,deg C,2229157,15499,ABM,HOBO
9/16/2017 6:00,16.487,deg C,2229157,15499,ABM,HOBO
9/16/2017 7:00,16.439,deg C,2229157,15499,ABM,HOBO
9/16/2017 8:00,16.487,deg C,2229157,15499,ABM,HOBO
9/16/2017 9:00,16.582,deg C,2229157,15499,ABM,HOBO
9/16/2017 10:00,16.725,deg C,2229157,15499,ABM,HOBO
9/16/2017 11:00,16.892,deg C,2229157,15499,ABM,HOBO
9/16/2017 12:00,17.106,deg C,2229157,15499,ABM,HOBO
9/16/2017 13:00,17.629,deg C,2229157,15499,ABM,HOBO
9/16/2017 14:00,18.2,deg C,2229157,15499,ABM,HOBO
9/16/2017 15:00,18.509,deg C,2229157,15499,ABM,HOBO
9/16/2017 16:00,18.866,deg C,2229157,15499,ABM,HOBO
9/16/2017 17:00,18.913,deg C,2229157,15499,ABM,HOBO
9/16/2017 18:00,18.628,deg C,2229157,15499,ABM,HOBO
9/16/2017 19:00,18.2,deg C,2229157,15499,ABM,HOBO
9/16/2017 20:00,17.891,deg C,2229157,15499,ABM,HOBO
9/16/2017 21:00,17.653,deg C,2229157,15499,ABM,HOBO
9/16/2017 22:00,17.486,deg C,2229157,15499,ABM,HOBO
9/16/2017 23:00,17.344,deg C,2229157,15499,ABM,HOBO
9/17/2017 0:00,17.201,deg C,2229157,15499,ABM,HOBO
9/17/2017 1:00,17.058,deg C,2229157,15499,ABM,HOBO
9/17/2017 2:00,16.915,deg C,2229157,15499,ABM,HOBO
9/17/2017 3:00,16.773,deg C,2229157,15499,ABM,HOBO
9/17/2017 4:00,16.654,deg C,2229157,15499,ABM,HOBO
9/17/2017 5:00,16.534,deg C,2229157,15499,ABM,HOBO
9/17/2017 6:00,16.415,deg C,2229157,15499,ABM,HOBO
9/17/2017 7:00,16.296,deg C,2229157,15499,ABM,HOBO
9/17/2017 8:00,16.272,deg C,2229157,15499,ABM,HOBO
9/17/2017 9:00,16.392,deg C,2229157,15499,ABM,HOBO
9/17/2017 10:00,16.844,deg C,2229157,15499,ABM,HOBO
9/17/2017 11:00,17.415,deg C,2229157,15499,ABM,HOBO
9/17/2017 12:00,18.319,deg C,2229157,15499,ABM,HOBO
9/17/2017 13:00,18.913,deg C,2229157,15499,ABM,HOBO
9/17/2017 14:00,19.365,deg C,2229157,15499,ABM,HOBO
9/17/2017 15:00,19.532,deg C,2229157,15499,ABM,HOBO
9/17/2017 16:00,19.651,deg C,2229157,15499,ABM,HOBO
9/17/2017 17:00,19.651,deg C,2229157,15499,ABM,HOBO
9/17/2017 18:00,19.341,deg C,2229157,15499,ABM,HOBO
9/17/2017 19:00,18.866,deg C,2229157,15499,ABM,HOBO
9/17/2017 20:00,18.414,deg C,2229157,15499,ABM,HOBO
9/17/2017 21:00,18.105,deg C,2229157,15499,ABM,HOBO
9/17/2017 22:00,17.867,deg C,2229157,15499,ABM,HOBO
9/17/2017 23:00,17.724,deg C,2229157,15499,ABM,HOBO
9/18/2017 0:00,17.582,deg C,2229157,15499,ABM,HOBO
9/18/2017 1:00,17.486,deg C,2229157,15499,ABM,HOBO
9/18/2017 2:00,17.391,deg C,2229157,15499,ABM,HOBO
9/18/2017 3:00,17.272,deg C,2229157,15499,ABM,HOBO
9/18/2017 4:00,17.201,deg C,2229157,15499,ABM,HOBO
9/18/2017 5:00,17.153,deg C,2229157,15499,ABM,HOBO
9/18/2017 6:00,17.13,deg C,2229157,15499,ABM,HOBO
9/18/2017 7:00,17.106,deg C,2229157,15499,ABM,HOBO
9/18/2017 8:00,17.058,deg C,2229157,15499,ABM,HOBO
9/18/2017 9:00,17.106,deg C,2229157,15499,ABM,HOBO
9/18/2017 10:00,17.201,deg C,2229157,15499,ABM,HOBO
9/18/2017 11:00,17.32,deg C,2229157,15499,ABM,HOBO
9/18/2017 12:00,17.463,deg C,2229157,15499,ABM,HOBO
